500 996
195 201 8832
204 195 4364
195 204 4364
204 205 5622
205 204 5622
206 202 10000
202 206 10000
202 207 2493
207 202 2493
208 204 5582
204 208 5582
207 208 2580
208 207 2580
209 208 4170
208 209 4170
210 209 5478
209 210 5478
211 210 757
210 211 757
212 211 5780
211 212 5780
213 212 3194
212 213 3194
214 183 2902
183 214 2902
215 214 4945
214 215 4945
216 215 2711
215 216 2711
217 218 2772
218 217 2772
216 219 8985
219 216 8985
95 216 6390
216 95 6390
97 95 3085
95 97 3085
220 97 8612
97 220 8612
221 222 1989
222 221 1989
214 217 7717
217 214 7717
217 223 7391
223 217 7391
224 225 10000
225 224 10000
222 224 3048
224 222 3048
224 226 1905
226 224 1905
226 227 1257
227 226 1257
227 228 10000
228 227 10000
33 229 615
229 33 615
220 230 8072
230 220 8072
231 220 3085
220 231 3085
232 231 8462
231 232 8462
233 99 1257
99 233 1257
232 99 687
99 232 687
233 232 687
232 233 687
234 233 833
233 234 833
235 234 6199
234 235 6199
231 221 8544
221 231 8544
236 221 10000
221 236 10000
234 237 5222
237 234 5222
238 235 1781
235 238 1781
239 238 9691
238 239 9691
238 240 3351
240 238 3351
241 242 4351
242 241 4351
241 243 3940
243 241 3940
244 239 1667
239 244 1667
244 241 4175
241 244 4175
245 244 3141
244 245 3141
235 236 10000
236 235 10000
239 246 5273
246 239 5273
245 247 7195
247 245 7195
34 248 3366
248 34 3366
100 249 645
249 100 645
250 13 5257
13 250 5257
251 250 10000
250 251 10000
252 203 4223
203 252 4223
252 253 7456
253 252 7456
13 236 9927
236 13 9927
254 228 10000
228 254 10000
228 255 3250
255 228 3250
256 257 1379
257 256 1379
255 256 9954
256 255 9954
256 258 1965
258 256 1965
255 259 7721
259 255 7721
100 260 6949
260 100 6949
259 261 10000
261 259 10000
262 252 9700
252 262 9700
206 262 2047
262 206 2047
263 206 3543
206 263 3543
262 264 10000
264 262 10000
213 263 5444
263 213 5444
265 213 2509
213 265 2509
266 265 2232
265 266 2232
267 266 6868
266 267 6868
268 266 10000
266 268 10000
259 269 3192
269 259 3192
270 271 5146
271 270 5146
250 272 2946
272 250 2946
272 273 883
273 272 883
273 274 4297
274 273 4297
273 254 2375
254 273 2375
275 254 5058
254 275 5058
275 276 3565
276 275 3565
270 277 1902
277 270 1902
278 270 1676
270 278 1676
279 278 4407
278 279 4407
269 280 1065
280 269 1065
281 268 1389
268 281 1389
282 281 7485
281 282 7485
279 281 10000
281 279 10000
283 282 2254
282 283 2254
279 284 8722
284 279 8722
285 279 10000
279 285 10000
286 287 4777
287 286 4777
288 187 10000
187 288 10000
289 129 10000
129 289 10000
290 289 10000
289 290 10000
288 291 1131
291 288 1131
292 288 1871
288 292 1871
291 293 9133
293 291 9133
292 291 1491
291 292 1491
294 293 6447
293 294 6447
293 295 10000
295 293 10000
293 296 2773
296 293 2773
195 294 4090
294 195 4090
297 298 1402
298 297 1402
209 297 9842
297 209 9842
297 299 6260
299 297 6260
295 298 4038
298 295 4038
295 300 5056
300 295 5056
210 301 5967
301 210 5967
212 302 7767
302 212 7767
303 151 10000
151 303 10000
304 303 9466
303 304 9466
305 292 7665
292 305 7665
290 305 628
305 290 628
306 290 2843
290 306 2843
307 306 1405
306 307 1405
306 308 8171
308 306 8171
309 307 1451
307 309 1451
310 311 4431
311 310 4431
309 310 882
310 309 882
312 309 6597
309 312 6597
313 314 3859
314 313 3859
315 304 1956
304 315 1956
313 315 859
315 313 859
316 315 2010
315 316 2010
317 312 933
312 317 933
312 318 882
318 312 882
317 318 1188
318 317 1188
319 317 1622
317 319 1622
320 313 859
313 320 859
318 320 6833
320 318 6833
321 322 1680
322 321 1680
303 323 6431
323 303 6431
323 324 9988
324 323 9988
162 325 1405
325 162 1405
326 327 4357
327 326 4357
323 326 5180
326 323 5180
326 328 2208
328 326 2208
329 321 6126
321 329 6126
304 329 3977
329 304 3977
320 316 1764
316 320 1764
330 316 4092
316 330 4092
331 330 4651
330 331 4651
332 333 3125
333 332 3125
329 332 3570
332 329 3570
334 335 3465
335 334 3465
330 334 4427
334 330 4427
319 336 4284
336 319 4284
336 337 251
337 336 251
337 338 679
338 337 679
334 339 7691
339 334 7691
340 341 10000
341 340 10000
296 342 2512
342 296 2512
342 319 2933
319 342 2933
343 340 4489
340 343 4489
341 319 3898
319 341 3898
344 341 1484
341 344 1484
345 344 1171
344 345 1171
346 344 1205
344 346 1205
345 343 10000
343 345 10000
347 345 10000
345 347 10000
348 346 10000
346 348 10000
349 350 10000
350 349 10000
351 352 725
352 351 725
349 353 1077
353 349 1077
347 349 4615
349 347 4615
353 354 7621
354 353 7621
354 355 7800
355 354 7800
354 356 4505
356 354 4505
357 358 3244
358 357 3244
357 359 4681
359 357 4681
360 357 5654
357 360 5654
361 360 1956
360 361 1956
360 362 4823
362 360 4823
363 348 1181
348 363 1181
348 361 1005
361 348 1005
363 361 1389
361 363 1389
364 363 933
363 364 933
365 364 3981
364 365 3981
366 347 2662
347 366 2662
367 366 10000
366 367 10000
368 369 2778
369 368 2778
366 368 2060
368 366 2060
368 370 8382
370 368 8382
371 372 5326
372 371 5326
373 374 3340
374 373 3340
265 373 6079
373 265 6079
373 267 6974
267 373 6974
375 267 5421
267 375 5421
375 376 10000
376 375 10000
377 375 10000
375 377 10000
282 378 10000
378 282 10000
283 379 10000
379 283 10000
379 380 5222
380 379 5222
380 379 5222
379 380 5222
381 377 5278
377 381 5278
377 382 7782
382 377 7782
381 380 3261
380 381 3261
383 381 6857
381 383 6857
384 383 1047
383 384 1047
385 386 594
386 385 594
384 385 7226
385 384 7226
387 384 2509
384 387 2509
388 389 2223
389 388 2223
390 283 5255
283 390 5255
390 391 4741
391 390 4741
392 390 6919
390 392 6919
393 394 3899
394 393 3899
395 392 10000
392 395 10000
396 395 838
395 396 838
397 396 3557
396 397 3557
398 396 9955
396 398 9955
392 393 8053
393 392 8053
399 400 6383
400 399 6383
401 387 1525
387 401 1525
393 401 8053
401 393 8053
402 401 10000
401 402 10000
387 388 2370
388 387 2370
403 402 3131
402 403 3131
404 402 9835
402 404 9835
405 403 5803
403 405 5803
399 406 5274
406 399 5274
404 399 6076
399 404 6076
407 397 5679
397 407 5679
397 404 10000
404 397 10000
408 409 2565
409 408 2565
408 410 5862
410 408 5862
388 411 8800
411 388 8800
412 413 5612
413 412 5612
414 408 5147
408 414 5147
414 415 3120
415 414 3120
367 414 5922
414 367 5922
416 367 2810
367 416 2810
417 416 3101
416 417 3101
417 418 6634
418 417 6634
419 417 8032
417 419 8032
418 420 3862
420 418 3862
418 421 9234
421 418 9234
421 419 688
419 421 688
422 421 1095
421 422 1095
423 424 7578
424 423 7578
425 426 6745
426 425 6745
427 412 7312
412 427 7312
427 428 4574
428 427 4574
422 427 1185
427 422 1185
429 422 687
422 429 687
429 427 1698
427 429 1698
430 431 10000
431 430 10000
432 433 1131
433 432 1131
434 432 9254
432 434 9254
434 403 3373
403 434 3373
435 434 10000
434 435 10000
432 436 5265
436 432 5265
436 437 3154
437 436 3154
436 438 5803
438 436 5803
437 439 3169
439 437 3169
440 405 10000
405 440 10000
405 441 7352
441 405 7352
440 442 5195
442 440 5195
443 440 2315
440 443 2315
444 443 10000
443 444 10000
445 446 4132
446 445 4132
447 448 1287
448 447 1287
448 449 556
449 448 556
450 448 3360
448 450 3360
451 452 1651
452 451 1651
453 454 3931
454 453 3931
450 453 883
453 450 883
450 455 1945
455 450 1945
456 450 1084
450 456 1084
453 457 1667
457 453 1667
458 459 3519
459 458 3519
443 460 4826
460 443 4826
460 461 3400
461 460 3400
460 462 3670
462 460 3670
458 463 4662
463 458 4662
437 464 3770
464 437 3770
465 464 2558
464 465 2558
465 466 2553
466 465 2553
435 467 3889
467 435 3889
468 435 3989
435 468 3989
469 470 1873
470 469 1873
445 468 3563
468 445 3563
468 469 2898
469 468 2898
425 465 2061
465 425 2061
471 425 3780
425 471 3780
430 471 1492
471 430 1492
472 430 1936
430 472 1936
473 472 969
472 473 969
473 474 7306
474 473 7306
475 473 2315
473 475 2315
476 447 218
447 476 218
474 470 2315
470 474 2315
477 478 10000
478 477 10000
479 478 1678
478 479 1678
452 476 1248
476 452 1248
452 445 2220
445 452 2220
456 451 1912
451 456 1912
480 456 5803
456 480 5803
480 458 5014
458 480 5014
481 480 3063
480 481 3063
461 482 6692
482 461 6692
482 483 4652
483 482 4652
481 482 883
482 481 883
484 481 10000
481 484 10000
485 486 5213
486 485 5213
485 487 10000
487 485 10000
488 485 5567
485 488 5567
489 488 5566
488 489 5566
488 490 1044
490 488 1044
491 492 1268
492 491 1268
493 494 3921
494 493 3921
495 491 417
491 495 417
495 158 10000
158 495 10000
496 495 1318
495 496 1318
497 491 1005
491 497 1005
498 496 4077
496 498 4077
493 499 8509
499 493 8509
161 498 3636
498 161 3636
333 321 4147
321 333 4147
419 431 9753
431 419 9753
285 286 4334
286 285 4334
60 70 557
70 60 557
173 177 10000
177 173 10000
179 171 10000
171 179 10000
185 197 10000
197 185 10000
196 193 9929
193 196 9929
38 30 8221
30 38 8221
229 163 2842
163 229 2842
54 55 1015
55 54 1015
494 497 1677
497 494 1677
447 451 1780
451 447 1780
492 494 2646
494 492 2646
431 429 7446
429 431 7446
353 351 2651
351 353 2651
113 109 10000
109 113 10000
188 114 10000
114 188 10000
191 189 603
189 191 603
280 268 2678
268 280 2678
277 275 1584
275 277 1584
277 271 6950
271 277 6950
116 110 9374
110 116 9374
230 260 2245
260 230 2245
45 46 2759
46 45 2759
15 16 4148
16 15 4148
